tweet id, tweet, label
'296728042179534848',"@MarkSDobson I always thought that, big lad aint he, must pump some serious lead! Unless he is on the gear like @darrennorton60 #Jabber",off-topic
'296085045645570048',"@thamonstar a lot of water moving around and a bit dirty. Probably should give it a miss today",on-topic
'296811076400603136',"Craig Thompson to be extradited to Victoria on 149 fraud charges. Oh to be on the plane, with him in handcuffs. #auspol",off-topic
'295357934387486720',"Sunshine state, sort your shit out.",off-topic
'296390762210398210',"@MarkPhilippi yeah I saw it. He's a wanker. Paul Kent was brilliant at that",off-topic
'296843667321278464',"@Purpletiger79 I really enjoyed doing a photo a day. I think Ima continue &amp; do Feb. Are you?",off-topic
'295330152093712384',"The Sunshine Coast? @ Noosa Heads http://t.co/mgPOgMbF",off-topic
'296744122075729920',"Okay, new favourite piracy metaphor: paying for content as buying indulgences for the sin of piracy.",off-topic
'296354176542334977',"WHAT MY GUM IS ALL SWOLLEN OMG AM I GOING TO DIE",off-topic
'296143150605553664',"Sun and Waves. #finally @ Palm Beach http://t.co/PPfDVzJB",off-topic
'296581730612162560',"My toe is in so much pain arghhhh",off-topic
'296504340003291136',"@RehdersCorner Both @pressdarling and @GigaRussian are eligible for the NBA perk. Maybe one of them can give you their code? :)",off-topic
'295322319302295552',"To ALL of my friends,in the UK &amp; Australia,stay safe &amp; look after yourself &amp; your loved ones",on-topic
'296805216077111297',"Looking at what new piercings I can get in the future wish I had  (@ Skin Candy) http://t.co/LmgdJwMc",off-topic
'296599444361711617',"@thejay_i_h He doesn't know I've made a list let alone him being at the top of it",off-topic
'296936072703774720',"Get over it Choc you lost.  Anyone with half a brain could see it. http://t.co/ythaSNX6",off-topic
'296598844987293696',"Like I don't even remember the born this way or monster balls it still seems surreal idk",off-topic
'295485547990892544',"@LiamPayne69me hey babe could I please get a follow :)",off-topic
'297239714937847811',"I just ousted @benhamilton as the mayor of Pizza Lane on @foursquare! http://t.co/TsXgQqdt",off-topic
'296591338063925248',"@larryemdur you have my vote!",off-topic
'295461064844394497',"@LozzKip I know I was a bit scared :(",off-topic
'297092543911428096',"@NiallOfficial can I make you a cake? Which type",off-topic
'296852330584883200',"What if the boys come to Movie World when I'm working next week OMG",off-topic
'296614618569269248',"@StevieDacanay i wish i could afford to fly over from Oz for this!",off-topic
'297074860973236225',"Coming up on @TheTodayShow the 2 Gold Coast surf rescue heroes Nick &amp; Angus http://t.co/cpdHmuBr",off-topic
'297332066197069824',"@R_McEwan @greglovey not yet buddy but 2 good lookin' civvy's like yourselves finding a job should be easy I'll even provide the pool table!",off-topic
'295412327640080384',"Waiting out the storm  with slipped_diss  @ Kookaburra Cafe http://t.co/Pwubs60t",on-topic
'295444466049875968',"@peacelovevegan I have BG on my list to watch.",off-topic
'295325443991674881',"@Ellendoughty it's ridiculous how they're implying that first and foremost it's the victim's fault... Fucking disgusting.",off-topic
'295706437026455553',"#FitzroyRiver catchment is 2nd largest in #AUS and peak not expected to hit #Rockhampton for another week! #BigWet #QldFloods",on-topic
